Run_Timestamp,Strategy,Benchmark,Rebalance_Period,Period,Top_N,Worst_Rank_Held,Periods,Total_Return_%,CAGR_%,Max_Drawdown_%,Win_Rate_%,Avg_Biweekly_Return_%,Total_Trades,Sharpe,Sortino,Calmar,Ann_Volatility_%,Avg_Turnover_%,Alpha_%,Information_Ratio,Bench_Total_Return_%,Bench_CAGR_%,Bench_Max_Drawdown_%,Final_Value,Bench_Final_Value,BENCHMARK_TICKER,PORTFOLIO_SIZE,EXIT_RANK_THRESHOLD
2026-05-18 01:18:30,quality_momentum_rs_lv,^CRSLDX,biweekly,2024-06-03 to 2025-03-25,20.0,30.0,21,-4.37,-5.38,-18.41,42.9,-0.15,135,-0.3,-0.54,-0.29,18.18,44.7,-3.34,-0.32,-1.65,-2.04,-16.76,95634.81,98350.03,,,
2026-05-18 01:36:24,quality_momentum_rs_lv,,biweekly,2026-01-02 to 2026-05-08,,,9,-2.3,-6.49,-10.44,44.4,-0.19,56,-0.34,-0.52,-0.62,19.18,32.9,4.85,0.48,-4.08,-11.34,-10.5,97704.06,95919.54,^CRSLDX,20.0,30.0
